Source,Target
31896,72922
31945,1244879
31945,1191724
31945,4537779
31945,4818491
31945,4449052
31945,198023
31945,5822014
31945,4359063
31945,4707063
31945,4100807
31945,28789
31945,4449054
31945,5539875
31945,14043003
31945,1174581
31945,4766219
31945,5439318
31945,5118930
31945,1123772
31945,4763993
31960,1148493
31960,976317
31960,1260512
31960,13062218
31960,13413163
31960,13753427
31960,14099720
31960,14354703
31960,14492276
31960,14851253
31960,15398551
31960,202356
31960,4253676
31960,4295753
31960,4302725
31960,4302754
31960,4321080
31960,4338510
31960,4656644
31960,4783093
31960,5019787
31960,5041475
31960,5297719
31960,5425280
31960,5497815
31960,5961471
31960,1175085
31961,1244890
31961,13175198
31961,13774972
31961,15849
31961,6033586
31961,200308
31961,4318717
31961,5046143
31961,194021
31968,13367188
31968,13952114
31968,5922488
31968,5130835
31968,4752264
31968,13914182
31968,5924550
31968,14012793
31968,5321203
31968,4689502
31968,14271364
31968,13627532
31968,13242660
31968,4268669
31968,5321206
31968,13539212
31968,14174750
31968,5576466
31968,13971653
31968,5815110
31968,4690499
31985,768760
31985,408682
31985,791241
32043,22216520
32043,10124
32043,5083583
32043,1122674
32043,4256
32043,5410893
32043,324694
32043,10125
32043,1195122
32043,241617
32043,5718774
32043,9628
32043,5567579
32043,4392540
32043,7373
32043,5054586
32043,1169
32043,13958
32043,5937003
32043,20123
32043,1100298
32043,14254317
32043,15753
32043,4571755
32043,236167
32043,4146327
32044,14281336
32044,4781027
32044,976023
32044,22436
32044,4885778
32044,4379946
32044,5004942
32044,4682840
32044,27204
32044,614119
32045,813963
32045,812647
32045,403060
32045,1243669
32045,4762056
32046,13735596
32046,13917943
32046,337007
32046,1098134
32046,933973
32046,4590048
32046,5297151
32046,5339421
32046,13749371
32046,14304376
32046,4870934
32046,5677334
32046,5841504
32046,13661325
32046,1065299
32064,4146860
32064,5900523
32064,14056494
32064,14056480
32064,11472
32064,4332422
32064,954891
32064,14035891
32064,14056493
32064,5783107
32067,5766310
32067,4823943
32067,5305372
32067,4391113
32067,5412019
32067,5607274
32067,5923607
32068,170385
32068,413602
32069,200067
32069,10180
32069,5924777
32069,4151170
32069,4533582
32069,13617023
32069,920206
32069,5456880
32069,198824
32069,14131855
32119,658609
32119,932174
32119,4916306
32119,642723
32119,863190
32119,6074000
32119,128084
32119,659629
32119,4462610
32119,6039719
32119,4606302
32119,324834
32119,337162
32119,1036650
32119,4749457
32119,1103369
32119,417933
32119,13950257
32119,4909197
32119,34554
32119,1098505
32119,5107421
32119,5774112
32119,565310
32119,45577
32119,1159045
32119,4703228
32119,4615962
32119,627329
32119,976601
32119,669102
32119,635445
32119,344181
32119,1149785
32119,4558817
32119,793917
32119,320878
32119,4885674
32119,590919
32119,955338
32119,13228605
32119,16742013
32119,954669
32119,1193309
32119,648819
32119,350679
32119,14149200
32119,1254724
32119,594650
32119,815125
32119,4601624
32119,658630
32119,14228531
32119,927538
32119,4637151
32123,1175888
32123,1246004
32123,13651579
32123,4150324
32123,645852
32123,5024983
32123,5765283
32123,5901177
32123,5903930
32123,4401751
32136,20575
32136,405431
32136,409733
32136,4123393
32136,4139222
32136,824376
32136,4396488
32136,4628798
32136,4842337
32136,5653817
32136,78894
32136,4145387
32137,10259
32137,977124
32137,1057581
32137,1058740
32137,1270144
32137,14104893
32137,14179047
32137,14356607
32137,14381573
32137,14407868
32137,14893
32137,17574
32137,270507
32137,344220
32137,4219840
32137,4272027
32137,4277507
32137,4426700
32137,4515589
32137,4521906
32137,4611924
32137,4986899
32137,5158906
32137,5226783
32137,5227226
32137,5227886
32137,5231456
32137,5232601
32137,5244285
32137,5244304
32137,5249040
32137,5261310
32137,5270188
32137,5275860
32137,6022580
32137,971963
32137,1053762
32138,129160
32138,5901508
32138,14064153
32138,14066387
32138,167788
32138,182175
32138,189057
32138,197393
32138,198199
32138,203575
32138,238972
32138,4154497
32138,4348277
32138,4386786
32138,5773082
32138,58054
32138,13572280
32139,810481
32139,11946637
32139,4154922
32139,4378339
32139,809427
32139,4208046
32139,4301565
32139,4826478
32139,4199509
32139,4960181
32139,4841672
32139,19358
32139,4156358
32139,824268
32139,406199
32139,14907713
32139,175013
32139,20406
32139,1122028
32139,810480
32140,1060636
32140,4212286
32140,1068652
32140,4482
32140,4632470
32140,46620
32140,4673708
32140,4734578
32140,5278607
32140,54338
32140,54377
32140,5667252
32140,5729613
32140,5837777
32140,5837778
32140,59704
32140,65370
32140,812892
32140,818420
32140,825468
32140,1158524
32140,1270127
32140,13464070
32140,13719332
32140,14033866
32140,14340043
32140,14386182
32140,14393572
32140,4199154
32140,4202892
32140,1060640
32141,14395
32141,14907713
32141,402689
32141,4436434
32141,4584056
32141,5729955
32141,4909071
32141,5003661
32141,50839
32141,5137675
32141,5275807
32141,4601234
32142,1085328
32142,67148
32142,1445
32142,303246
32142,3610
32142,4116319
32142,4128449
32142,4149590
32142,4149977
32142,4154347
32142,4388600
32142,4391281
32142,4392713
32142,4396488
32142,4399154
32142,4598645
32142,5645042
32142,5762062
32142,5803792
32142,6020575
32142,6029275
32142,14193155
32147,1113398
32147,1172794
32147,1179564
32147,4916
32154,909799
32154,197518
32154,8110
32154,179892
32154,16658547
32154,4296154
32154,4329487
32154,4313739
32154,24504468
32154,20286263
32154,4294774
32154,14001000
32154,24504858
32154,14001001
32154,4329488
32154,5481254
32154,13810588
32154,6041
32154,4287213
32154,14907713
32154,4271979
32154,4355968
32154,13641278
32154,4341591
32155,4256989
32155,14381606
32155,4241609
32155,4126878
32155,4248172
32155,122817
32155,13363825
32155,4347139
32155,4227924
32155,18110453
32155,13463314
32155,14187321
32155,13410831
32155,4245676
32155,4906128
32155,4942892
32155,4904270
32155,1267149
32155,4277506
32155,137225
32155,6036339
32155,4942893
32156,14381427
32156,5471906
32156,14286287
32156,4399629
32156,13175199
32156,966033
32181,1161001
32181,14457538
32181,5106
32181,4556610
32181,4940442
32181,15878
32188,4905701
32188,55850
32188,787446
32188,845249
32188,972193
32188,1122435
32188,4890372
32188,168807
32188,4561106
32188,4568885
32188,4878810
32188,4880362
32188,14288107
32191,12981615
32191,998549
32191,13367980
32191,13367981
32191,14149219
32191,14472668
32191,14851161
32191,15392478
32191,18127137
32191,23111
32191,4163142
32191,4327529
32191,4515934
32191,5646467
32191,66431
32191,779774
32191,827227
32191,13109614
32190,4693517
32190,4266584
32190,4695623
32190,4808940
32190,4362491
32190,4837956
